Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2025-11-07 12:09:16 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Users\Administrator\Desktop\Greene Lab\August\251106 MCF7 Y537S las ful e2.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,251106 MCF7 Y537S las ful e2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2025-11-06 14:54:36 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Comparative Cт (ΔΔCт) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,      272313848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,272313848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,Quantity,Quantity Mean,Quantity SD,RQ,RQ Min,RQ Max,CT,Ct Mean,Ct SD,Delta Ct,Delta Ct Mean,Delta Ct SD,Delta Ct SE,Delta Delta Ct,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,EXPFAIL,THOLDFAIL,HIGHSD,NOAMP
1,A1,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.819,26.446,0.329,,,,,,TRUE,0.106,TRUE,3,22,Amp,,0.988,N,N,N,N,N
1,A1,FALSE,Veh,PGR,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.124,8.096,37.880,37.053,1.305,11.060,10.607,1.215,0.701,0.000,TRUE,0.040,TRUE,3,34,Amp,,0.626,Y,N,Y,Y,N
2,A2,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.201,26.446,0.329,,,,,,TRUE,0.106,TRUE,3,22,Amp,,0.988,N,N,N,N,N
2,A2,FALSE,Veh,PGR,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.124,8.096,37.730,37.053,1.305,11.530,10.607,1.215,0.701,0.000,TRUE,0.040,TRUE,3,34,Amp,,0.859,N,N,Y,Y,N
3,A3,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.317,26.446,0.329,,,,,,TRUE,0.106,TRUE,3,22,Amp,,0.986,N,N,N,N,N
3,A3,FALSE,Veh,PGR,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.124,8.096,35.548,37.053,1.305,9.231,10.607,1.215,0.701,0.000,TRUE,0.040,TRUE,3,32,Amp,,0.938,N,N,Y,Y,N
4,A4,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.608,26.479,0.401,,,,,,TRUE,0.106,TRUE,3,22,Amp,,0.988,N,N,N,N,N
4,A4,FALSE,E2,PGR,UNKNOWN,FAM,NFQ-MGB,,,,2.453,0.746,8.070,35.787,35.792,0.297,9.179,9.312,0.692,0.399,-1.295,TRUE,0.040,TRUE,3,33,Amp,,0.948,N,N,Y,N,N
5,A5,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.800,26.479,0.401,,,,,,TRUE,0.106,TRUE,3,22,Amp,,0.985,N,N,N,N,N
5,A5,FALSE,E2,PGR,UNKNOWN,FAM,NFQ-MGB,,,,2.453,0.746,8.070,35.497,35.792,0.297,8.697,9.312,0.692,0.399,-1.295,TRUE,0.040,TRUE,3,32,Amp,,0.938,N,N,Y,N,N
6,A6,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.030,26.479,0.401,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.983,N,N,N,N,N
6,A6,FALSE,E2,PGR,UNKNOWN,FAM,NFQ-MGB,,,,2.453,0.746,8.070,36.091,35.792,0.297,10.061,9.312,0.692,0.399,-1.295,TRUE,0.040,TRUE,3,33,Amp,,0.931,N,N,Y,N,N
7,A7,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.960,25.665,0.282,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.989,N,N,N,N,N
7,A7,FALSE,Ful,PGR,UNKNOWN,FAM,NFQ-MGB,,,,0.549,0.516,0.585,37.439,37.150,0.408,11.479,11.471,0.010,0.007,0.865,TRUE,0.040,TRUE,3,34,Amp,,0.859,N,N,Y,N,N
8,A8,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.639,25.665,0.282,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.990,N,N,N,N,N
8,A8,FALSE,Ful,PGR,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,37.150,0.408,,,,,,TRUE,0.040,TRUE,3,34,Amp,,0.000,Y,N,Y,N,N
9,A9,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.397,25.665,0.282,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.974,N,N,N,N,N
9,A9,FALSE,Ful,PGR,UNKNOWN,FAM,NFQ-MGB,,,,0.549,0.516,0.585,36.861,37.150,0.408,11.464,11.471,0.010,0.007,0.865,TRUE,0.040,TRUE,3,33,Amp,,0.769,Y,N,Y,N,N
10,A10,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.083,26.247,0.448,,,,,,TRUE,0.106,TRUE,3,22,Amp,,0.987,N,N,N,N,N
10,A10,FALSE,Laso,PGR,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,37.552,0.260,,,,,,TRUE,0.040,TRUE,3,39,No Amp,,0.000,Y,Y,Y,N,N
11,A11,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.754,26.247,0.448,,,,,,TRUE,0.106,TRUE,3,22,Amp,,0.987,N,N,N,N,N
11,A11,FALSE,Laso,PGR,UNKNOWN,FAM,NFQ-MGB,,,,0.652,0.003,139.003,37.368,37.552,0.260,10.614,11.223,0.861,0.609,0.616,TRUE,0.040,TRUE,3,34,Inconclusive,,0.915,N,N,Y,N,N
12,A12,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.904,26.247,0.448,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.986,N,N,N,N,N
12,A12,FALSE,Laso,PGR,UNKNOWN,FAM,NFQ-MGB,,,,0.652,0.003,139.003,37.735,37.552,0.260,11.832,11.223,0.861,0.609,0.616,TRUE,0.040,TRUE,3,34,Amp,,0.915,N,N,Y,N,N
13,B1,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.857,25.547,0.380,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.989,N,N,N,N,N
13,B1,FALSE,Veh,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.536,1.867,29.053,29.159,0.245,3.196,3.612,0.362,0.209,0.000,TRUE,0.294,TRUE,3,23,Amp,,0.987,N,N,N,N,N
14,B2,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.123,25.547,0.380,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.982,N,N,N,N,N
14,B2,FALSE,Veh,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.536,1.867,28.984,29.159,0.245,3.861,3.612,0.362,0.209,0.000,TRUE,0.294,TRUE,3,23,Amp,,0.992,N,N,N,N,N
15,B3,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.660,25.547,0.380,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.985,N,N,N,N,N
15,B3,FALSE,Veh,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.536,1.867,29.439,29.159,0.245,3.778,3.612,0.362,0.209,0.000,TRUE,0.294,TRUE,3,23,Amp,,0.988,N,N,N,N,N
16,B4,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.630,25.412,0.589,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.987,N,N,N,Y,N
16,B4,FALSE,E2,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,0.964,0.355,2.617,28.920,29.076,0.156,3.289,3.664,0.580,0.335,0.052,TRUE,0.294,TRUE,3,23,Amp,,0.989,N,N,N,N,N
17,B5,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.861,25.412,0.589,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.985,N,N,N,Y,N
17,B5,FALSE,E2,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,0.964,0.355,2.617,29.232,29.076,0.156,3.371,3.664,0.580,0.335,0.052,TRUE,0.294,TRUE,3,23,Amp,,0.988,N,N,N,N,N
18,B6,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,24.746,25.412,0.589,,,,,,TRUE,0.106,TRUE,3,20,Amp,,0.992,N,N,N,Y,N
18,B6,FALSE,E2,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,0.964,0.355,2.617,29.077,29.076,0.156,4.332,3.664,0.580,0.335,0.052,TRUE,0.294,TRUE,3,23,Amp,,0.987,N,N,N,N,N
