Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2026-01-30 16:06:46 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Users\Administrator\Desktop\Greene Lab\August\20260129 T47D Y537S 4h laso ful e2.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,20260129 T47D Y537S 4h laso ful e2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2026-01-29 15:03:52 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Comparative Cт (ΔΔCт) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,      272313848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,272313848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,Quantity,Quantity Mean,Quantity SD,RQ,RQ Min,RQ Max,CT,Ct Mean,Ct SD,Delta Ct,Delta Ct Mean,Delta Ct SD,Delta Ct SE,Delta Delta Ct,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,HIGHSD
1,A1,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,15.795,15.675,0.134,,,,,,TRUE,0.151,TRUE,3,11,Amp,,0.982,N
1,A1,FALSE,Veh,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.742,1.348,26.492,26.185,0.304,10.697,10.510,0.174,0.100,0.000,TRUE,0.284,TRUE,3,21,Amp,,0.992,N
2,A2,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,15.700,15.675,0.134,,,,,,TRUE,0.151,TRUE,3,11,Amp,,0.981,N
2,A2,FALSE,Veh,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.742,1.348,26.179,26.185,0.304,10.479,10.510,0.174,0.100,0.000,TRUE,0.284,TRUE,3,21,Amp,,0.992,N
3,A3,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,15.530,15.675,0.134,,,,,,TRUE,0.151,TRUE,3,11,Amp,,0.982,N
3,A3,FALSE,Veh,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.742,1.348,25.884,26.185,0.304,10.355,10.510,0.174,0.100,0.000,TRUE,0.284,TRUE,3,20,Amp,,0.995,N
4,A4,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.546,16.481,0.065,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.977,N
4,A4,FALSE,Laso,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,1.063,1.008,1.120,27.002,26.904,0.087,10.455,10.423,0.031,0.018,-0.087,TRUE,0.284,TRUE,3,21,Amp,,0.990,N
5,A5,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.481,16.481,0.065,,,,,,TRUE,0.151,TRUE,3,11,Amp,,0.969,N
5,A5,FALSE,Laso,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,1.063,1.008,1.120,26.876,26.904,0.087,10.395,10.423,0.031,0.018,-0.087,TRUE,0.284,TRUE,3,21,Amp,,0.996,N
6,A6,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.415,16.481,0.065,,,,,,TRUE,0.151,TRUE,3,11,Amp,,0.981,N
6,A6,FALSE,Laso,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,1.063,1.008,1.120,26.834,26.904,0.087,10.419,10.423,0.031,0.018,-0.087,TRUE,0.284,TRUE,3,21,Amp,,0.995,N
7,A7,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.686,16.646,0.047,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.976,N
7,A7,FALSE,Ful,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,0.965,0.762,1.222,27.379,27.208,0.184,10.694,10.561,0.137,0.079,0.051,TRUE,0.284,TRUE,3,22,Amp,,0.993,N
8,A8,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.660,16.646,0.047,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.978,N
8,A8,FALSE,Ful,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,0.965,0.762,1.222,27.230,27.208,0.184,10.570,10.561,0.137,0.079,0.051,TRUE,0.284,TRUE,3,22,Amp,,0.993,N
9,A9,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.594,16.646,0.047,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.981,N
9,A9,FALSE,Ful,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,0.965,0.762,1.222,27.014,27.208,0.184,10.420,10.561,0.137,0.079,0.051,TRUE,0.284,TRUE,3,21,Amp,,0.991,N
10,A10,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.220,16.601,0.369,,,,,,TRUE,0.151,TRUE,3,11,Amp,,0.978,N
10,A10,FALSE,E2,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,1.255,1.018,1.546,26.275,26.784,0.490,10.055,10.183,0.121,0.070,-0.327,TRUE,0.284,TRUE,3,21,Amp,,0.992,N
11,A11,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.626,16.601,0.369,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.979,N
11,A11,FALSE,E2,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,1.255,1.018,1.546,26.824,26.784,0.490,10.198,10.183,0.121,0.070,-0.327,TRUE,0.284,TRUE,3,21,Amp,,0.995,N
12,A12,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.956,16.601,0.369,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.981,N
12,A12,FALSE,E2,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,1.255,1.018,1.546,27.253,26.784,0.490,10.296,10.183,0.121,0.070,-0.327,TRUE,0.284,TRUE,3,22,Amp,,0.991,N
13,B1,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.038,18.116,0.291,,,,,,TRUE,0.151,TRUE,3,13,Amp,,0.975,N
13,B1,FALSE,Veh,MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.528,1.895,28.651,28.327,0.320,10.613,10.211,0.371,0.214,0.000,TRUE,0.182,TRUE,3,23,Amp,,0.994,N
14,B2,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.439,18.116,0.291,,,,,,TRUE,0.151,TRUE,3,14,Amp,,0.971,N
14,B2,FALSE,Veh,MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.528,1.895,28.319,28.327,0.320,9.881,10.211,0.371,0.214,0.000,TRUE,0.182,TRUE,3,23,Amp,,0.995,N
15,B3,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,17.872,18.116,0.291,,,,,,TRUE,0.151,TRUE,3,13,Amp,,0.974,N
15,B3,FALSE,Veh,MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.528,1.895,28.011,28.327,0.320,10.139,10.211,0.371,0.214,0.000,TRUE,0.182,TRUE,3,23,Amp,,0.992,N
16,B4,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.349,16.354,0.021,,,,,,TRUE,0.151,TRUE,3,11,Amp,,0.974,N
16,B4,FALSE,Laso,MYC,UNKNOWN,FAM,NFQ-MGB,,,,0.553,0.413,0.741,27.304,27.419,0.156,10.956,11.065,0.170,0.098,0.854,TRUE,0.182,TRUE,3,22,Amp,,0.992,N
17,B5,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.335,16.354,0.021,,,,,,TRUE,0.151,TRUE,3,11,Amp,,0.981,N
17,B5,FALSE,Laso,MYC,UNKNOWN,FAM,NFQ-MGB,,,,0.553,0.413,0.741,27.597,27.419,0.156,11.261,11.065,0.170,0.098,0.854,TRUE,0.182,TRUE,3,22,Amp,,0.994,N
18,B6,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.377,16.354,0.021,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.972,N
18,B6,FALSE,Laso,MYC,UNKNOWN,FAM,NFQ-MGB,,,,0.553,0.413,0.741,27.356,27.419,0.156,10.979,11.065,0.170,0.098,0.854,TRUE,0.182,TRUE,3,22,Amp,,0.993,N
19,B7,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.614,16.595,0.079,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.976,N
19,B7,FALSE,Ful,MYC,UNKNOWN,FAM,NFQ-MGB,,,,0.426,0.193,0.942,28.373,28.036,0.534,11.759,11.441,0.461,0.266,1.230,TRUE,0.182,TRUE,3,23,Amp,,0.991,Y
20,B8,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.662,16.595,0.079,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.975,N
20,B8,FALSE,Ful,MYC,UNKNOWN,FAM,NFQ-MGB,,,,0.426,0.193,0.942,28.314,28.036,0.534,11.652,11.441,0.461,0.266,1.230,TRUE,0.182,TRUE,3,23,Amp,,0.991,Y
