Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2025-11-20 13:28:08 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Users\Administrator\Desktop\Greene Lab\August\251114 MCF7 Las Ful E2 redo.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,251114 MCF7 Las Ful E2 redo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2025-11-14 14:07:08 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Comparative Cт (ΔΔCт) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,      272313848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,272313848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,Quantity,Quantity Mean,Quantity SD,RQ,RQ Min,RQ Max,CT,Ct Mean,Ct SD,Delta Ct,Delta Ct Mean,Delta Ct SD,Delta Ct SE,Delta Delta Ct,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,THOLDFAIL,EXPFAIL,HIGHSD,NOAMP
1,A1,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,33.539,33.105,0.418,,,,,,TRUE,0.277,TRUE,3,22,No Amp,,0.732,Y,N,N,N,N
1,A1,FALSE,Veh,PGR,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,37.326,,,,,,,TRUE,0.040,TRUE,3,39,Inconclusive,,0.000,Y,Y,Y,N,Y
2,A2,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,32.706,33.105,0.418,,,,,,TRUE,0.277,TRUE,3,21,No Amp,,0.740,Y,N,N,N,N
2,A2,FALSE,Veh,PGR,UNKNOWN,FAM,NFQ-MGB,,,,1.000,,,37.326,37.326,,4.620,4.620,,,0.000,TRUE,0.040,TRUE,3,30,Amp,,0.325,Y,Y,N,N,N
3,A3,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,33.070,33.105,0.418,,,,,,TRUE,0.277,TRUE,3,19,No Amp,,0.714,Y,N,N,N,N
3,A3,FALSE,Veh,PGR,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,37.326,,,,,,,TRUE,0.040,TRUE,3,39,No Amp,,0.000,Y,Y,Y,N,N
4,A4,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,35.457,33.381,2.501,,,,,,TRUE,0.277,TRUE,3,21,No Amp,,0.573,Y,N,N,Y,N
4,A4,FALSE,E2,PGR,UNKNOWN,FAM,NFQ-MGB,,,,4.609,0.186,114.331,36.536,35.796,0.698,1.079,2.415,1.865,1.077,-2.204,TRUE,0.040,TRUE,3,30,Amp,,0.492,Y,Y,N,Y,N
5,A5,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,34.081,33.381,2.501,,,,,,TRUE,0.277,TRUE,3,21,No Amp,,0.678,Y,N,N,Y,N
5,A5,FALSE,E2,PGR,UNKNOWN,FAM,NFQ-MGB,,,,4.609,0.186,114.331,35.702,35.796,0.698,1.621,2.415,1.865,1.077,-2.204,TRUE,0.040,TRUE,3,30,Amp,,0.720,Y,Y,N,Y,N
6,A6,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,30.604,33.381,2.501,,,,,,TRUE,0.277,TRUE,3,21,Amp,,0.795,Y,N,N,Y,N
6,A6,FALSE,E2,PGR,UNKNOWN,FAM,NFQ-MGB,,,,4.609,0.186,114.331,35.149,35.796,0.698,4.546,2.415,1.865,1.077,-2.204,TRUE,0.040,TRUE,3,30,Amp,,0.692,Y,Y,N,Y,N
7,A7,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,34.875,32.530,2.200,,,,,,TRUE,0.277,TRUE,3,21,No Amp,,0.651,Y,N,N,Y,N
7,A7,FALSE,Ful,PGR,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.040,TRUE,3,39,No Amp,,0.000,Y,Y,Y,N,Y
8,A8,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,30.512,32.530,2.200,,,,,,TRUE,0.277,TRUE,3,20,Amp,,0.781,Y,N,N,Y,N
8,A8,FALSE,Ful,PGR,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.040,TRUE,3,39,Amp,,0.000,Y,Y,Y,N,Y
9,A9,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,32.205,32.530,2.200,,,,,,TRUE,0.277,TRUE,3,21,No Amp,,0.715,Y,N,N,Y,N
9,A9,FALSE,Ful,PGR,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.040,TRUE,3,39,Amp,,0.000,Y,Y,Y,N,N
10,A10,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,34.412,32.571,2.058,,,,,,TRUE,0.277,TRUE,3,21,No Amp,,0.659,Y,N,N,Y,N
10,A10,FALSE,Laso,PGR,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.040,TRUE,3,39,Amp,,0.000,Y,Y,Y,N,N
11,A11,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,32.952,32.571,2.058,,,,,,TRUE,0.277,TRUE,3,21,No Amp,,0.752,Y,N,N,Y,N
11,A11,FALSE,Laso,PGR,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.040,TRUE,3,39,Amp,,0.000,Y,Y,Y,N,Y
12,A12,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,30.349,32.571,2.058,,,,,,TRUE,0.277,TRUE,3,21,Amp,,0.619,Y,N,N,Y,N
12,A12,FALSE,Laso,PGR,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.040,TRUE,3,39,Amp,,0.000,Y,Y,Y,N,Y
13,B1,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.223,26.181,0.041,,,,,,TRUE,0.277,TRUE,3,20,Amp,,0.975,N,N,N,N,N
13,B1,FALSE,Veh,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.631,1.585,27.748,28.007,0.228,1.525,1.826,0.267,0.154,0.000,TRUE,0.335,TRUE,3,22,Amp,,0.987,N,N,N,N,N
14,B2,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.141,26.181,0.041,,,,,,TRUE,0.277,TRUE,3,20,Amp,,0.978,N,N,N,N,N
14,B2,FALSE,Veh,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.631,1.585,28.178,28.007,0.228,2.037,1.826,0.267,0.154,0.000,TRUE,0.335,TRUE,3,22,Amp,,0.984,N,N,N,N,N
15,B3,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.179,26.181,0.041,,,,,,TRUE,0.277,TRUE,3,20,Amp,,0.957,N,N,N,N,N
15,B3,FALSE,Veh,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.631,1.585,28.094,28.007,0.228,1.915,1.826,0.267,0.154,0.000,TRUE,0.335,TRUE,3,22,Amp,,0.973,N,N,N,N,N
16,B4,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.395,26.032,0.505,,,,,,TRUE,0.277,TRUE,3,20,Amp,,0.947,N,N,N,Y,N
16,B4,FALSE,E2,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,0.964,0.407,2.279,28.178,27.911,0.251,1.783,1.879,0.500,0.289,0.054,TRUE,0.335,TRUE,3,22,Amp,,0.972,N,N,N,N,N
17,B5,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.246,26.032,0.505,,,,,,TRUE,0.277,TRUE,3,20,Amp,,0.978,N,N,N,Y,N
17,B5,FALSE,E2,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,0.964,0.407,2.279,27.680,27.911,0.251,1.434,1.879,0.500,0.289,0.054,TRUE,0.335,TRUE,3,22,Amp,,0.986,N,N,N,N,N
18,B6,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.455,26.032,0.505,,,,,,TRUE,0.277,TRUE,3,19,Amp,,0.985,N,N,N,Y,N
18,B6,FALSE,E2,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,0.964,0.407,2.279,27.875,27.911,0.251,2.420,1.879,0.500,0.289,0.054,TRUE,0.335,TRUE,3,22,Amp,,0.984,N,N,N,N,N
19,B7,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.420,25.983,0.465,,,,,,TRUE,0.277,TRUE,3,21,Amp,,0.971,N,N,N,N,N
