Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,10-16-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2025-12-11 09:29:33 AM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Users\Administrator\Desktop\Greene Lab\August\251204 MCF7 Y537S las ful e2.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,251204 MCF7 Y537S las ful e2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2025-12-04 13:47:56 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Comparative Cт (ΔΔCт) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,      272313848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,272313848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,Quantity,Quantity Mean,Quantity SD,RQ,RQ Min,RQ Max,CT,Ct Mean,Ct SD,Delta Ct,Delta Ct Mean,Delta Ct SD,Delta Ct SE,Delta Delta Ct,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,THOLDFAIL,CQCONF,EXPFAIL,HIGHSD,NOAMP
1,A1,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.942,26.749,0.180,,,,,,TRUE,0.178,TRUE,3,21,Amp,,0.992,N,N,N,N,N
1,A1,FALSE,Veh,HCA-E,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.242,4.136,36.948,36.621,0.801,10.006,9.872,0.825,0.476,0.000,TRUE,0.040,TRUE,3,34,Inconclusive,,0.936,Y,N,N,Y,N
2,A2,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.720,26.749,0.180,,,,,,TRUE,0.178,TRUE,3,21,Amp,,0.986,N,N,N,N,N
2,A2,FALSE,Veh,HCA-E,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.242,4.136,35.709,36.621,0.801,8.989,9.872,0.825,0.476,0.000,TRUE,0.040,TRUE,3,33,Amp,,0.975,Y,N,N,Y,N
3,A3,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.585,26.749,0.180,,,,,,TRUE,0.178,TRUE,3,21,Amp,,0.985,N,N,N,N,N
3,A3,FALSE,Veh,HCA-E,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.242,4.136,37.207,36.621,0.801,10.622,9.872,0.825,0.476,0.000,TRUE,0.040,TRUE,3,34,Inconclusive,,0.905,Y,N,N,Y,N
4,A4,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,27.225,26.940,0.429,,,,,,TRUE,0.178,TRUE,3,22,Amp,,0.987,N,N,N,N,N
4,A4,FALSE,E2,HCA-E,UNKNOWN,FAM,NFQ-MGB,,,,0.626,0.047,8.422,37.426,37.487,1.831,10.202,10.547,1.509,0.871,0.675,TRUE,0.040,TRUE,3,34,Inconclusive,,0.877,Y,N,N,Y,N
5,A5,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,27.148,26.940,0.429,,,,,,TRUE,0.178,TRUE,3,21,Amp,,0.982,N,N,N,N,N
5,A5,FALSE,E2,HCA-E,UNKNOWN,FAM,NFQ-MGB,,,,0.626,0.047,8.422,39.348,37.487,1.831,12.200,10.547,1.509,0.871,0.675,TRUE,0.040,TRUE,3,35,Inconclusive,,0.000,Y,Y,N,Y,N
6,A6,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.446,26.940,0.429,,,,,,TRUE,0.178,TRUE,3,21,Amp,,0.986,N,N,N,N,N
6,A6,FALSE,E2,HCA-E,UNKNOWN,FAM,NFQ-MGB,,,,0.626,0.047,8.422,35.687,37.487,1.831,9.241,10.547,1.509,0.871,0.675,TRUE,0.040,TRUE,3,33,Amp,,0.967,Y,N,N,Y,N
7,A7,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.436,26.241,0.221,,,,,,TRUE,0.178,TRUE,3,21,Amp,,0.986,N,N,N,N,N
7,A7,FALSE,Ful,HCA-E,UNKNOWN,FAM,NFQ-MGB,,,,0.564,0.253,1.256,37.006,36.940,0.315,10.571,10.699,0.465,0.269,0.827,TRUE,0.040,TRUE,3,34,Inconclusive,,0.910,Y,N,N,N,N
8,A8,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.286,26.241,0.221,,,,,,TRUE,0.178,TRUE,3,21,Amp,,0.985,N,N,N,N,N
8,A8,FALSE,Ful,HCA-E,UNKNOWN,FAM,NFQ-MGB,,,,0.564,0.253,1.256,36.597,36.940,0.315,10.311,10.699,0.465,0.269,0.827,TRUE,0.040,TRUE,3,33,Inconclusive,,0.935,Y,N,N,N,N
9,A9,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.001,26.241,0.221,,,,,,TRUE,0.178,TRUE,3,21,Amp,,0.990,N,N,N,N,N
9,A9,FALSE,Ful,HCA-E,UNKNOWN,FAM,NFQ-MGB,,,,0.564,0.253,1.256,37.216,36.940,0.315,11.215,10.699,0.465,0.269,0.827,TRUE,0.040,TRUE,3,34,Inconclusive,,0.912,Y,N,N,N,N
10,A10,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.481,26.466,0.527,,,,,,TRUE,0.178,TRUE,3,21,Amp,,0.987,N,N,N,Y,N
10,A10,FALSE,Laso,HCA-E,UNKNOWN,FAM,NFQ-MGB,,,,1.027,0.210,5.030,37.354,36.300,0.968,10.873,9.834,0.923,0.533,-0.038,TRUE,0.040,TRUE,3,34,Inconclusive,,0.911,Y,N,N,Y,N
11,A11,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.986,26.466,0.527,,,,,,TRUE,0.178,TRUE,3,22,Amp,,0.986,N,N,N,Y,N
11,A11,FALSE,Laso,HCA-E,UNKNOWN,FAM,NFQ-MGB,,,,1.027,0.210,5.030,36.095,36.300,0.968,9.110,9.834,0.923,0.533,-0.038,TRUE,0.040,TRUE,3,33,Amp,,0.937,Y,N,N,Y,N
12,A12,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.932,26.466,0.527,,,,,,TRUE,0.178,TRUE,3,20,Amp,,0.992,N,N,N,Y,N
12,A12,FALSE,Laso,HCA-E,UNKNOWN,FAM,NFQ-MGB,,,,1.027,0.210,5.030,35.452,36.300,0.968,9.520,9.834,0.923,0.533,-0.038,TRUE,0.040,TRUE,3,32,Amp,,0.961,Y,N,N,Y,N
13,B1,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.694,26.570,0.210,,,,,,TRUE,0.178,TRUE,3,21,Amp,,0.988,N,N,N,N,N
13,B1,FALSE,Veh,FOXM1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.402,2.489,35.222,34.504,0.624,8.528,7.934,0.530,0.306,0.000,TRUE,0.107,TRUE,3,31,Amp,,0.988,N,N,N,Y,N
14,B2,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.328,26.570,0.210,,,,,,TRUE,0.178,TRUE,3,21,Amp,,0.987,N,N,N,N,N
14,B2,FALSE,Veh,FOXM1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.402,2.489,34.089,34.504,0.624,7.761,7.934,0.530,0.306,0.000,TRUE,0.107,TRUE,3,30,Amp,,0.991,N,N,N,Y,N
15,B3,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.689,26.570,0.210,,,,,,TRUE,0.178,TRUE,3,21,Amp,,0.983,N,N,N,N,N
15,B3,FALSE,Veh,FOXM1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.402,2.489,34.201,34.504,0.624,7.512,7.934,0.530,0.306,0.000,TRUE,0.107,TRUE,3,30,Amp,,0.993,N,N,N,Y,N
16,B4,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,27.031,26.679,0.547,,,,,,TRUE,0.178,TRUE,3,22,Amp,,0.981,N,N,N,Y,N
16,B4,FALSE,E2,FOXM1,UNKNOWN,FAM,NFQ-MGB,,,,0.840,0.571,1.236,34.965,34.864,0.409,7.934,8.185,0.224,0.130,0.252,TRUE,0.107,TRUE,3,31,Amp,,0.994,N,N,N,N,N
17,B5,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.957,26.679,0.547,,,,,,TRUE,0.178,TRUE,3,21,Amp,,0.986,N,N,N,Y,N
17,B5,FALSE,E2,FOXM1,UNKNOWN,FAM,NFQ-MGB,,,,0.840,0.571,1.236,35.213,34.864,0.409,8.256,8.185,0.224,0.130,0.252,TRUE,0.107,TRUE,3,31,Amp,,0.992,N,N,N,N,N
18,B6,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.049,26.679,0.547,,,,,,TRUE,0.178,TRUE,3,21,Amp,,0.984,N,N,N,Y,N
